id_kota|id_provinsi|nama_kota|slug|tipe|created_at
514|38|Kota Tebing Tinggi|kota-tebing-tinggi|Kota|2026-05-13 22:56:40
241|17|Kota Pangkal Pinang|kota-pangkal-pinang|Kota|2026-05-13 21:12:44
85|9|Kabupaten Cirebon|kabupaten-cirebon|Kabupaten|2026-05-13 20:02:33
234|16|Kota Tarakan|kota-tarakan|Kota|2026-05-13 21:11:25
54|5|Kabupaten Sleman|kabupaten-sleman|Kabupaten|2026-05-13 19:48:37
439|35|Kabupaten Minahasa Selatan|kabupaten-minahasa-selatan|Kabupaten|2026-05-13 22:28:10
414|34|Kabupaten Bombana|kabupaten-bombana|Kabupaten|2026-05-13 22:18:52
447|36|Kabupaten Dharmasraya|kabupaten-dharmasraya|Kabupaten|2026-05-13 22:30:30
425|34|Kabupaten Konawe Utara|kabupaten-konawe-utara|Kabupaten|2026-05-13 22:23:12
159|11|Kabupaten Pamekasan|kabupaten-pamekasan|Kabupaten|2026-05-13 20:42:57
467|37|Kabupaten Lahat|kabupaten-lahat|Kabupaten|2026-05-13 22:35:42
128|10|Kabupaten Semarang|kabupaten-semarang|Kabupaten|2026-05-13 20:27:21
369|30|Kota Dumai|kota-dumai|Kota|2026-05-13 22:02:54
420|34|Kabupaten Kolaka Timur|kabupaten-kolaka-timur|Kabupaten|2026-05-13 22:20:35
121|10|Kabupaten Magelang|kabupaten-magelang|Kabupaten|2026-05-13 20:23:20
127|10|Kabupaten Rembang|kabupaten-rembang|Kabupaten|2026-05-13 20:26:52
327|25|Kabupaten Kaimana|kabupaten-kaimana|Kabupaten|2026-05-13 21:42:24
113|10|Kabupaten Demak|kabupaten-demak|Kabupaten|2026-05-13 20:18:40
387|32|Kabupaten Luwu Utara|kabupaten-luwu-utara|Kabupaten|2026-05-13 22:08:52
139|10|Kota Surakarta|kota-surakarta|Kota|2026-05-13 20:31:40
78|8|Kota Sungai Penuh|kota-sungai-penuh|Kota|2026-05-13 19:57:25
412|33|Kabupaten Toli Toli|kabupaten-toli-toli|Kabupaten|2026-05-13 22:18:21
283|21|Kota Ternate|kota-ternate|Kota|2026-05-13 21:27:35
68|8|Kabupaten Batanghari|kabupaten-batanghari|Kabupaten|2026-05-13 19:53:09
87|9|Kabupaten Indramayu|kabupaten-indramayu|Kabupaten|2026-05-13 20:04:51
